Married,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
Yes,Not Graduate,3500,1083,135,360,1,Y
Yes,Not Graduate,3917,0,124,360,1,Y
No,Not Graduate,4408,0,120,360,1,Y
No,Graduate,3244,0,80,360,1,Y
No,Not Graduate,3975,2531,55,360,1,Y
No,Graduate,2479,0,59,360,1,Y
No,Graduate,3418,0,127,360,1,N
No,Graduate,10000,0,214,360,1,N
Yes,Graduate,3430,1250,128,360,0,N
Yes,Graduate,7787,0,240,360,1,Y
Yes,Not Graduate,5703,0,130,360,1,Y
Yes,Graduate,3173,3021,137,360,1,Y
Yes,Not Graduate,3850,983,100,360,1,Y
Yes,Graduate,150,1800,135,360,1,N
Yes,Graduate,3727,1775,131,360,1,Y
Yes,Graduate,5000,0,72,360,0,N
Yes,Graduate,4283,2383,127,360,,Y
Yes,Graduate,2221,0,60,360,0,N
Yes,Graduate,4009,1717,116,360,1,Y
No,Graduate,2971,2791,144,360,1,Y
Yes,Graduate,7578,1010,175,,1,Y
Yes,Graduate,6250,0,128,360,1,Y
Yes,Graduate,3250,0,170,360,1,N
Yes,Not Graduate,4735,0,138,360,1,N
Yes,Graduate,6250,1695,210,360,1,Y
,Graduate,4758,0,158,480,1,Y
No,Graduate,6400,0,200,360,1,Y
Yes,Graduate,2491,2054,104,360,1,Y
Yes,Graduate,3716,0,42,180,1,Y
No,Not Graduate,3189,2598,120,,1,Y
No,Graduate,8333,0,280,360,1,Y
Yes,Graduate,3155,1779,140,360,1,Y
Yes,Graduate,5500,1260,170,360,1,Y
Yes,Graduate,5746,0,255,360,,N
No,Graduate,3463,0,122,360,,Y
No,Graduate,3812,0,112,360,1,Y
Yes,Graduate,3315,0,96,360,1,Y
Yes,Graduate,5819,5000,120,360,1,Y
Yes,Not Graduate,2510,1983,140,180,1,N
No,Graduate,2965,5701,155,60,1,Y
Yes,Graduate,6250,1300,108,360,1,Y
Yes,Not Graduate,3406,4417,123,360,1,Y
No,Graduate,6050,4333,120,180,1,N
Yes,Graduate,9703,0,112,360,1,Y
Yes,Not Graduate,6608,0,137,180,1,Y
Yes,Graduate,2882,1843,123,480,1,Y
Yes,Graduate,1809,1868,90,360,1,Y
Yes,Not Graduate,1668,3890,201,360,0,N
No,Graduate,3427,0,138,360,1,N
No,Not Graduate,2583,2167,104,360,1,Y
Yes,Not Graduate,2661,7101,279,180,1,Y
No,Graduate,16250,0,192,360,0,N
No,Graduate,3083,0,255,360,1,Y
No,Not Graduate,6045,0,115,360,0,N
Yes,Graduate,5250,0,94,360,1,N
Yes,Graduate,14683,2100,304,360,1,N
Yes,Not Graduate,4931,0,128,360,,N
Yes,Graduate,6083,4250,330,360,,Y
No,Graduate,2060,2209,134,360,1,Y
No,Graduate,3481,0,155,36,1,N
No,Graduate,7200,0,120,360,1,Y
No,Graduate,5166,0,128,360,1,Y
No,Graduate,4095,3447,151,360,1,Y
Yes,Graduate,4708,1387,150,360,1,Y
Yes,Graduate,4333,1811,160,360,0,Y
No,Graduate,3418,0,135,360,1,N
No,Graduate,2876,1560,90,360,1,Y
No,Graduate,3237,0,30,360,1,Y
Yes,Graduate,11146,0,136,360,1,Y
No,Graduate,2833,1857,126,360,1,Y
Yes,Graduate,2620,2223,150,360,1,Y
Yes,Graduate,3900,0,90,360,1,Y
Yes,Graduate,2750,1842,115,360,1,Y
Yes,Graduate,3993,3274,207,360,1,Y
Yes,Graduate,3103,1300,80,360,1,Y
Yes,Graduate,14583,0,436,360,1,Y
Yes,Not Graduate,4100,0,124,360,,Y
No,Not Graduate,4053,2426,158,360,0,N
Yes,Graduate,3927,800,112,360,1,Y
Yes,Graduate,2301,985.7999878,78,180,1,Y
No,Graduate,1811,1666,54,360,1,Y
Yes,Graduate,20667,0,,360,1,N
No,Graduate,3158,3053,89,360,1,Y
No,Graduate,2600,1717,99,300,1,N
Yes,Graduate,3704,2000,120,360,1,Y
No,Graduate,4124,0,115,360,1,Y
No,Graduate,9508,0,187,360,1,Y
Yes,Graduate,3075,2416,139,360,1,Y
Yes,Graduate,4400,0,127,360,0,N
Yes,Graduate,3153,1560,134,360,1,Y
No,Graduate,5417,0,143,480,0,N
Yes,Graduate,2383,3334,172,360,1,Y
Yes,Graduate,4416,1250,110,360,1,Y
Yes,Graduate,6875,0,200,360,1,Y
Yes,Graduate,4666,0,135,360,1,Y
No,Graduate,5000,2541,151,480,1,N
Yes,Graduate,2014,2925,113,360,1,N
Yes,Not Graduate,1800,2934,93,360,0,N
Yes,Not Graduate,2875,1750,105,360,1,Y
No,Graduate,5000,0,132,360,1,Y
Yes,Graduate,1625,1803,96,360,1,Y
No,Graduate,4000,2500,140,360,1,Y
No,Not Graduate,2000,0,,360,1,N
No,Graduate,3762,1666,135,360,1,Y
No,Graduate,2400,1863,104,360,0,N
No,Graduate,20233,0,480,360,1,N
Yes,Not Graduate,7667,0,185,360,,Y
No,Graduate,2917,0,84,360,1,Y
No,Not Graduate,2927,2405,111,360,1,Y
No,Graduate,2507,0,56,360,1,Y
Yes,Graduate,5746,0,144,84,,Y
Yes,Graduate,2473,1843,159,360,1,N
Yes,Not Graduate,3399,1640,111,180,1,Y
Yes,Graduate,3717,0,120,360,1,Y
Yes,Graduate,2058,2134,88,360,,Y
No,Graduate,3541,0,112,360,,Y
Yes,Graduate,10000,0,155,360,1,N
Yes,Graduate,2400,2167,115,360,1,Y
Yes,Graduate,4342,189,124,360,1,Y
Yes,Not Graduate,3601,1590,,360,1,Y
No,Graduate,3166,2985,132,360,,Y
Yes,Graduate,15000,0,300,360,1,Y
Yes,Graduate,8666,4983,376,360,0,N
No,Graduate,4917,0,130,360,0,Y
Yes,Graduate,5818,2160,184,360,1,Y
Yes,Graduate,4333,2451,110,360,1,N
No,Graduate,2500,0,67,360,1,Y
No,Graduate,4384,1793,117,360,1,Y
No,Graduate,2935,0,98,360,1,Y
No,Graduate,2833,0,71,360,1,Y
Yes,Graduate,63337,0,490,180,1,Y
Yes,Graduate,9833,1833,182,180,1,Y
Yes,Graduate,5503,4490,70,,1,Y
Yes,Graduate,5250,688,160,360,1,Y
Yes,Graduate,2500,4600,176,360,1,Y
No,Not Graduate,1830,0,,360,0,N
No,Graduate,4160,0,71,360,1,Y
Yes,Not Graduate,2647,1587,173,360,1,N
No,Graduate,2378,0,46,360,1,N
Yes,Not Graduate,4554,1229,158,360,1,Y
Yes,Not Graduate,3173,0,74,360,1,Y
Yes,Graduate,2583,2330,125,360,1,Y
Yes,Graduate,2499,2458,160,360,1,Y
Yes,Not Graduate,3523,3230,152,360,0,N
Yes,Not Graduate,3083,2168,126,360,1,Y
Yes,Graduate,6333,4583,259,360,,Y
Yes,Graduate,2625,6250,187,360,1,Y
Yes,Graduate,9083,0,228,360,1,Y
No,Graduate,8750,4167,308,360,1,N
Yes,Graduate,2666,2083,95,360,1,Y
Yes,Graduate,5500,0,105,360,0,N
Yes,Graduate,2423,505,130,360,1,Y
No,Graduate,3813,0,116,180,1,Y
Yes,Graduate,8333,3167,165,360,1,Y
Yes,Graduate,3875,0,67,360,1,N
Yes,Not Graduate,3000,1666,100,480,0,N
Yes,Graduate,5167,3167,200,360,1,Y
No,Graduate,4723,0,81,360,1,N
Yes,Graduate,5000,3667,236,360,1,Y
Yes,Graduate,4750,2333,130,360,1,Y
Yes,Graduate,3013,3033,95,300,,Y
No,Graduate,6822,0,141,360,1,Y
No,Not Graduate,6216,0,133,360,1,N
No,Graduate,2500,0,96,480,1,N
No,Graduate,5124,0,124,,0,N
Yes,Graduate,6325,0,175,360,1,Y
Yes,Graduate,19730,5266,570,360,1,N
No,Graduate,15759,0,55,360,1,Y
Yes,Graduate,5185,0,155,360,1,Y
Yes,Graduate,9323,7873,380,300,1,Y
No,Graduate,3062,1987,111,180,0,N
No,Graduate,2764,1459,110,360,1,Y
Yes,Graduate,4817,923,120,180,1,Y
Yes,Graduate,8750,4996,130,360,1,Y
Yes,Graduate,4310,0,130,360,,Y
No,Graduate,3069,0,71,480,1,N
Yes,Graduate,5391,0,130,360,1,Y
Yes,Graduate,3333,2500,128,360,1,Y
No,Graduate,5941,4232,296,360,1,Y
No,Graduate,6000,0,156,360,1,Y
No,Graduate,7167,0,128,360,1,Y
Yes,Graduate,4566,0,100,360,1,N
No,Graduate,3667,0,113,180,1,Y
No,Not Graduate,2346,1600,132,360,1,Y
Yes,Not Graduate,3010,3136,,360,0,N
Yes,Graduate,2333,2417,136,360,1,Y
Yes,Graduate,5488,0,125,360,1,Y
No,Graduate,9167,0,185,360,1,Y
Yes,Graduate,9504,0,275,360,1,Y
Yes,Graduate,2583,2115,120,360,,Y
Yes,Not Graduate,1993,1625,113,180,1,Y
Yes,Graduate,3100,1400,113,360,1,Y
Yes,Graduate,3276,484,135,360,,Y
No,Graduate,3180,0,71,360,0,N
Yes,Graduate,3033,1459,95,360,1,Y
No,Not Graduate,3902,1666,109,360,1,Y
No,Graduate,1500,1800,103,360,0,N
Yes,Not Graduate,2889,0,45,180,0,N
No,Not Graduate,2755,0,65,300,1,N
No,Graduate,2500,20000,103,360,1,Y
No,Not Graduate,1963,0,53,360,1,Y
No,Graduate,7441,0,194,360,1,N
No,Graduate,4547,0,115,360,1,Y
Yes,Not Graduate,2167,2400,115,360,1,Y
No,Not Graduate,2213,0,66,360,1,Y
Yes,Graduate,8300,0,152,300,0,N
Yes,Graduate,81000,0,360,360,0,N
No,Not Graduate,3867,0,62,360,1,N
Yes,Graduate,6256,0,160,360,,Y
Yes,Not Graduate,6096,0,218,360,0,N
Yes,Not Graduate,2253,2033,110,360,1,Y
Yes,Not Graduate,2149,3237,178,360,0,N
No,Graduate,2995,0,60,360,1,Y
No,Graduate,2600,0,160,360,1,N
Yes,Graduate,1600,20000,239,360,1,N
Yes,Graduate,1025,2773,112,360,1,Y
Yes,Graduate,3246,1417,138,360,1,Y
Yes,Graduate,5829,0,138,360,1,Y
No,Not Graduate,2720,0,80,,0,N
Yes,Graduate,1820,1719,100,360,1,Y
Yes,Graduate,7250,1667,110,,0,N
Yes,Graduate,14880,0,96,360,1,Y
Yes,Graduate,2666,4300,121,360,1,Y
No,Not Graduate,4606,0,81,360,1,N
Yes,Graduate,5935,0,133,360,1,Y
Yes,Graduate,2920,16.12000084,87,360,1,Y
No,Not Graduate,2717,0,60,180,1,Y
No,Graduate,8624,0,150,360,1,Y
No,Graduate,6500,0,105,360,0,N
No,Graduate,12876,0,405,360,1,Y
Yes,Graduate,2425,2340,143,360,1,Y
No,Graduate,3750,0,100,360,1,Y
,Graduate,10047,0,,240,1,Y
No,Graduate,1926,1851,50,360,1,Y
Yes,Graduate,2213,1125,,360,1,Y
No,Graduate,10416,0,187,360,0,N
Yes,Not Graduate,7142,0,138,360,1,Y
No,Graduate,3660,5064,187,360,1,Y
Yes,Graduate,7901,1833,180,360,1,Y
No,Not Graduate,4707,1993,148,360,1,Y
No,Graduate,37719,0,152,360,1,Y
Yes,Graduate,7333,8333,175,300,,Y
Yes,Graduate,3466,1210,130,360,1,Y
Yes,Not Graduate,4652,0,110,360,1,Y
Yes,Graduate,3539,1376,55,360,1,N
Yes,Graduate,3340,1710,150,360,0,N
No,Not Graduate,2769,1542,190,360,,N
Yes,Not Graduate,2309,1255,125,360,0,N
Yes,Not Graduate,1958,1456,60,300,,Y
Yes,Graduate,3948,1733,149,360,0,N
Yes,Graduate,2483,2466,90,180,0,Y
No,Graduate,7085,0,84,360,1,Y
Yes,Graduate,3859,0,96,360,1,Y
Yes,Graduate,4301,0,118,360,1,Y
Yes,Graduate,3708,2569,173,360,1,N
No,Graduate,4354,0,136,360,1,Y
Yes,Graduate,8334,0,160,360,1,N
Yes,Graduate,2083,4083,160,360,,Y
Yes,Graduate,7740,0,128,180,1,Y
Yes,Graduate,3015,2188,153,360,1,Y
No,Not Graduate,5191,0,132,360,1,Y
No,Graduate,4166,0,98,360,0,N
No,Graduate,6000,0,140,360,1,Y
Yes,Not Graduate,2947,1664,70,180,0,N
Yes,Graduate,16692,0,110,360,1,Y
Yes,Not Graduate,210,2917,98,360,1,Y
Yes,Graduate,4333,2451,110,360,1,N
Yes,Graduate,3450,2079,162,360,1,Y
Yes,Not Graduate,2653,1500,113,180,0,N
Yes,Graduate,4691,0,100,360,1,Y
No,Graduate,2500,0,93,360,,Y
No,Graduate,5532,4648,162,360,1,Y
Yes,Graduate,16525,1014,150,360,1,Y
Yes,Graduate,6700,1750,230,300,1,Y
Yes,Graduate,2873,1872,132,360,0,N
Yes,Graduate,16667,2250,86,360,1,Y
Yes,Graduate,2947,1603,,360,1,N
No,Not Graduate,4350,0,154,360,1,Y
Yes,Not Graduate,3095,0,113,360,1,Y
Yes,Graduate,2083,3150,128,360,1,Y
Yes,Graduate,10833,0,234,360,1,Y
Yes,Graduate,8333,0,246,360,1,Y
Yes,Not Graduate,1958,2436,131,360,1,Y
No,Graduate,3547,0,80,360,0,N
Yes,Graduate,18333,0,500,360,1,N
Yes,Graduate,4583,2083,160,360,1,Y
No,Graduate,2435,0,75,360,1,N
No,Not Graduate,2699,2785,96,360,,Y
Yes,Not Graduate,5333,1131,186,360,,Y
No,Not Graduate,3691,0,110,360,1,Y
No,Not Graduate,17263,0,225,360,1,Y
Yes,Graduate,3597,2157,119,360,0,N
Yes,Graduate,3326,913,105,84,1,Y
Yes,Not Graduate,2600,1700,107,360,1,Y
Yes,Graduate,4625,2857,111,12,,Y
Yes,Graduate,2895,0,95,360,1,Y
No,Graduate,6283,4416,209,360,0,N
No,Graduate,645,3683,113,480,1,Y
No,Graduate,3159,0,100,360,1,Y
Yes,Graduate,4865,5624,208,360,1,Y
Yes,Not Graduate,4050,5302,138,360,,N
Yes,Not Graduate,3814,1483,124,300,1,Y
Yes,Graduate,3510,4416,243,360,1,Y
Yes,Graduate,20833,6667,480,360,,Y
No,Graduate,3583,0,96,360,1,N
Yes,Graduate,2479,3013,188,360,1,Y
No,Graduate,13262,0,40,360,1,Y
No,Not Graduate,3598,1287,100,360,1,N
Yes,Graduate,6065,2004,250,360,1,Y
Yes,Graduate,3283,2035,148,360,1,Y
Yes,Graduate,2130,6666,70,180,1,N
No,Graduate,5815,3666,311,360,1,N
Yes,Graduate,3466,3428,150,360,1,Y
Yes,Graduate,2031,1632,113,480,1,Y
Yes,Not Graduate,3074,1800,123,360,0,N
No,Graduate,4683,1915,185,360,1,N
No,Not Graduate,3400,0,95,360,1,N
Yes,Not Graduate,2192,1742,45,360,1,Y
No,Graduate,2500,0,55,360,1,Y
Yes,Graduate,5677,1424,100,360,1,Y
Yes,Graduate,7948,7166,480,360,1,Y
No,Graduate,4680,2087,,360,1,N
Yes,Graduate,17500,0,400,360,1,Y
Yes,Graduate,3775,0,110,360,1,Y
Yes,Not Graduate,5285,1430,161,360,0,Y
No,Not Graduate,2679,1302,94,360,1,Y
No,Not Graduate,6783,0,130,360,1,Y
Yes,Graduate,1025,5500,216,360,,Y
Yes,Graduate,4281,0,100,360,1,Y
No,Graduate,3588,0,110,360,0,N
No,Graduate,11250,0,196,360,,N
No,Not Graduate,18165,0,125,360,1,Y
No,Not Graduate,2550,2042,126,360,1,Y
Yes,Graduate,6133,3906,324,360,1,Y
No,Graduate,3617,0,107,360,1,Y
Yes,Not Graduate,2917,536,66,360,1,N
Yes,Graduate,6417,0,157,180,1,Y
Yes,Graduate,4608,2845,140,180,1,Y
No,Graduate,2138,0,99,360,0,N
No,Graduate,3652,0,95,360,1,Y
Yes,Not Graduate,2239,2524,128,360,1,Y
Yes,Not Graduate,3017,663,102,360,,Y
Yes,Graduate,2768,1950,155,360,1,Y
No,Not Graduate,3358,0,80,36,1,N
No,Graduate,2526,1783,145,360,1,Y
No,Graduate,5000,0,103,360,0,N
Yes,Graduate,2785,2016,110,360,1,Y
Yes,Graduate,6633,0,,360,0,N
Yes,Not Graduate,2492,2375,,360,1,Y
Yes,Graduate,3333,3250,158,360,1,Y
Yes,Not Graduate,2454,2333,181,360,0,N
Yes,Graduate,3593,4266,132,180,0,N
Yes,Graduate,5468,1032,26,360,1,Y
No,Graduate,2667,1625,84,360,,Y
Yes,Graduate,10139,0,260,360,1,Y
Yes,Graduate,3887,2669,162,360,1,Y
Yes,Graduate,4180,2306,182,360,1,Y
Yes,Not Graduate,3675,242,108,360,1,Y
Yes,Graduate,19484,0,600,360,1,Y
Yes,Graduate,5923,2054,211,360,1,Y
No,Not Graduate,5800,0,132,360,1,Y
Yes,Graduate,8799,0,258,360,0,N
Yes,Not Graduate,4467,0,120,360,,Y
No,Graduate,3333,0,70,360,1,Y
Yes,Graduate,3400,2500,123,360,0,N
No,Graduate,2378,0,9,360,1,N
Yes,Graduate,3166,2064,104,360,0,N
Yes,Graduate,3417,1750,186,360,1,Y
Yes,Graduate,5116,1451,165,360,0,N
Yes,Graduate,16666,0,275,360,1,Y
Yes,Not Graduate,6125,1625,187,480,1,N
Yes,Graduate,6406,0,150,360,1,N
Yes,Graduate,3159,461,108,84,1,Y
Yes,Graduate,3087,2210,136,360,0,N
No,Graduate,3229,2739,110,360,1,Y
Yes,Graduate,1782,2232,107,360,1,Y
No,Graduate,3182,2917,161,360,1,Y
Yes,Graduate,6540,0,205,360,1,Y
No,Graduate,1836,33837,90,360,1,N
Yes,Graduate,3166,0,36,360,1,Y
Yes,Graduate,1880,0,61,360,,N
Yes,Graduate,2787,1917,146,360,0,N
Yes,Graduate,4283,3000,172,84,1,N
Yes,Graduate,2297,1522,104,360,1,Y
No,Not Graduate,2165,0,70,360,1,Y
No,Graduate,4750,0,94,360,1,Y
Yes,Graduate,2726,0,106,360,0,N
Yes,Graduate,3000,3416,56,180,1,Y
Yes,Graduate,6000,0,205,240,1,N
No,Graduate,9357,0,292,360,1,Y
Yes,Graduate,3859,3300,142,180,1,Y
Yes,Graduate,16120,0,260,360,1,Y
No,Not Graduate,3833,0,110,360,1,Y
Yes,Not Graduate,6383,1000,187,360,1,N
No,Graduate,2987,0,88,360,0,N
Yes,Graduate,9963,0,180,360,1,Y
Yes,Graduate,5780,0,192,360,1,Y
No,Graduate,416,41667,350,180,,N
Yes,Not Graduate,2894,2792,155,360,1,Y
Yes,Graduate,5703,0,128,360,1,Y
No,Graduate,3676,4301,172,360,1,Y
Yes,Graduate,12000,0,496,360,1,Y
Yes,Not Graduate,2400,3800,,180,1,N
Yes,Graduate,3400,2500,173,360,1,Y
Yes,Not Graduate,3987,1411,157,360,1,Y
